link,name,popularity,year
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,Pretty Persuasion Lyrics,1,2006
http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,That Someone Is You Lyrics,1,2011
http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,King of Birds Lyrics,1,2008
http://www.metrolyrics.com/catapult-lyrics-rem.html,Catapult Lyrics,1,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,Camera Lyrics,1,2006
http://www.metrolyrics.com/disguised-lyrics-rem.html,Disguised Lyrics,1,2016
http://www.metrolyrics.com/animal-lyrics-rem.html,Animal Lyrics,1,2003
http://www.metrolyrics.com/disappear-lyrics-rem.html,Disappear Lyrics,1,2014
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,Green Grow The Rushes Lyrics,1,2006
http://www.metrolyrics.com/kohoutek-lyrics-rem.html,Kohoutek Lyrics,1,2006
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,Arms Of Love Lyrics,1,2006
http://www.metrolyrics.com/9-dream-lyrics-rem.html,#9 Dream Lyrics,0,2007
http://www.metrolyrics.com/1000000-lyrics-rem.html,"1,000,000 Lyrics",0,2006
http://www.metrolyrics.com/11-lyrics-rem.html,11 Lyrics,0,2007
http://www.metrolyrics.com/11th-untitled-song-lyrics-rem.html,11th Untitled Song Lyrics,0,2006
http://www.metrolyrics.com/7-chinese-brothers-lyrics-rem.html,7 Chinese Brothers Lyrics,0,2007
http://www.metrolyrics.com/99-lyrics-rem.html,9-9 Lyrics,0,2006
http://www.metrolyrics.com/a-girl-like-you-lyrics-rem.html,A Girl Like You Lyrics,0,2006
http://www.metrolyrics.com/a-month-of-saturdays-lyrics-rem.html,A Month Of Saturdays Lyrics,0,2011
http://www.metrolyrics.com/academy-fight-song-lyrics-rem.html,Academy Fight Song Lyrics,0,2006
http://www.metrolyrics.com/accelerate-lyrics-rem.html,Accelerate Lyrics,0,2008
http://www.metrolyrics.com/action-lyrics-rem.html,Action Lyrics,0,2006
http://www.metrolyrics.com/aftermath-lyrics-rem.html,Aftermath Lyrics,0,2004
http://www.metrolyrics.com/ages-of-you-lyrics-rem.html,Ages Of You Lyrics,0,2006
http://www.metrolyrics.com/airportman-lyrics-rem.html,Airportman Lyrics,0,2006
http://www.metrolyrics.com/all-i-have-to-do-is-dream-lyrics-rem.html,"All I Have To Do Is, Dream Lyrics",0,2006
http://www.metrolyrics.com/all-the-best-lyrics-rem.html,All The Best Lyrics,0,2011
